"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000143036",22.0199843765693,0.64845949561402,0.381702086365641,1.69886285345804,0.0893450275160631,0.143783251313795
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982935,-40.3775625252709,0,0
"ENSG00000172339",121.721575546106,-0.391796735488267,0.164631334524013,-2.37984303912157,0.0173200137599714,0.032658843430905
"ENSG00000152078",66.7007248104545,0.157324075183658,0.222579685000531,0.706821357857895,0.479677500176506,0.592729688739947
"ENSG00000271092",4.67223520909144,-0.63622883365929,0.819257505071215,-0.77659201132858,0.43739951623413,0.552295585183226
"ENSG00000122481",31.8084693928623,-0.0692204943138828,0.321633274704525,-0.215215587931546,0.829599238262309,0.884513750525206
"ENSG00000117569",193.82951863584,0.746076540449501,0.134104096604461,5.56341349250536,2.64548035378356e-08,9.65076471635201e-08
"ENSG00000188641",267.07046453428,-0.713082077396504,0.124554123009114,-5.72507806380944,1.03386190260505e-08,3.89495314943588e-08
"ENSG00000162627",436.157169457634,-0.559172040373808,0.0929580241201336,-6.01531761960825,1.79534332101491e-09,7.13586026567361e-09
"ENSG00000117598",1.68039679429589,-4.26194180393955,1.68783675672881,-2.525091237022,0.0115668255394433,0.0225863844369175
"ENSG00000117600",117.142485714047,-1.11549993180754,0.187104564605238,-5.96190656364307,2.49311702880763e-09,9.81398471436079e-09
"ENSG00000099260",3.12796175720602,-0.841061198864664,1.0214410311068,-0.823406514180577,0.410276859881561,0.525294097900655
"ENSG00000156869",48.8981183567552,-1.19444136555781,0.264390828727922,-4.51771103901255,6.25117124215299e-06,1.84999521620182e-05
"ENSG00000162688",371.515600127008,0.0552305655949506,0.106901109049439,0.516651006580373,0.605399802645128,0.707115413804399
"ENSG00000117620",369.413873480079,-0.579473073383462,0.113688719492912,-5.09701469035887,3.45051561706941e-07,1.15288368089705e-06
"ENSG00000156875",930.025079594941,0.63447595429206,0.0723606882091621,8.76824101586869,1.81479040444534e-18,1.17051995539236e-17
"ENSG00000156876",65.7528620547836,-0.941751807705759,0.224046013087353,-4.20338570068006,2.62951959964942e-05,7.26816576512249e-05
"ENSG00000122435",104.173353807703,-0.662927360000024,0.174689324776665,-3.79489336768322,0.00014770692450804,0.000376366641320797
"ENSG00000122477",3.58058013351012,0.642333411991291,0.936258735380837,0.686063998890235,0.492672751825054,0.605066797258619
"ENSG00000137992",438.486630818838,0.707029000943499,0.091235445908655,7.74949904504634,9.22557738427448e-15,5.01906827203534e-14
"ENSG00000137996",915.454439462374,-0.0775949111991057,0.0668928531099445,-1.15998806436872,0.246053665642387,0.345628948173609
"ENSG00000079335",65.9833633691234,0.742469058182771,0.223947242981575,3.31537485479943,0.000915203090588447,0.00211447925209163
"ENSG00000181656",1.70138935197461,1.19592949869159,1.51227320609832,0.790815769180425,0.429051506494067,0.544132269401046
"ENSG00000162692",430.612009350776,-1.87894914376229,0.252564048991716,-7.43949564977047,1.01070428863585e-13,5.20285008938707e-13
"ENSG00000162694",728.610373990495,-0.216561910634127,0.0739411486787826,-2.92884157879291,0.00340227778404183,0.00726075441372842
